userName,score,content,at,sentiment,cluster
Wainikiti,5,This is the 1st time overseas and am so impressed with the security of the process.,2025-05-17 06:37:57,1.0,0
Hazel Novak,5,"Easy to navigate, tried and tested for many years.",2025-05-17 03:41:38,0.4666666666666667,0
Elissa Abou harb,5,veryyy good app,2025-05-17 03:37:42,0.7,0
Elise Rock,5,Ease of searching for a comfy place to rest. Airbnb is great for vacation rentals and destination getaways.,2025-05-17 02:50:03,0.8,0
Prajwith m v,5,good app,2025-05-17 01:16:32,0.7,0
Nelly Music_Tz,5,Great app and business idea,2025-05-17 01:08:41,0.8,0
marcin wiacek,5,better than immediate competition in many aspects! overall Not Bad:),2025-05-17 01:07:52,0.3949999999999999,0
Radu Dumitrescu,5,Just great service,2025-05-17 00:34:10,0.8,0
Salam Tawfiq,5,Easy and quick!,2025-05-17 00:24:13,0.425,0
Dani W.,4,Nice redesign. Now I see where all the fees go to.,2025-05-17 00:03:53,0.6,0
Michelle Garland,5,"Great experience, with all my bookings",2025-05-16 23:36:44,0.8,0
Srinath Badrinarayanan,5,Great app to book affordable accommodations,2025-05-16 23:35:54,0.8,0
Eladnane Brahim,5,Good,2025-05-16 23:34:13,0.7,0
amanda walker,5,great options easy to use,2025-05-16 19:35:40,0.6166666666666667,0
Mayra Alejandra-Amezaga,5,I've found some pretty amazing spots all around the world,2025-05-16 16:12:44,0.425,0
Andres Djakiv,5,Best,2025-05-16 16:04:58,1.0,0
JAMWAT COMPANY,5,Ver accurate however sometimes payment method have some challenges.,2025-05-16 15:14:54,0.4000000000000001,0
Dushyant Varandani,5,The most user friendly app. Wonderful experience !!,2025-05-16 15:11:24,0.625,0
SOHAM LAKHOTE,5,Amazing and really good. Much better to book your stay from here rather than booking expensive hotels.,2025-05-16 14:49:38,0.325,0
M. Zihanwa Nassiuma,5,safe and act on concerns,2025-05-16 14:40:26,0.5,0
Prabhanjan Deshpande,5,Fantastic options for family to stay together,2025-05-16 11:47:05,0.4,0
Christine D,5,easy to use,2025-05-16 11:34:13,0.4333333333333333,0
